
Episode: 106, total numsteps: 53000, episode steps: 500, reward: [176.95364517 181.56695256 182.1219052  188.17229756 187.02061474]
Episode: 107, total numsteps: 53500, episode steps: 500, reward: [175.79488779 181.14520246 186.67740991 190.07332662 185.06381544]
Episode: 108, total numsteps: 54000, episode steps: 500, reward: [178.11142326 182.32272487 183.13610731 190.21598415 187.83889762]
Episode: 109, total numsteps: 54500, episode steps: 500, reward: [173.93816371 185.25242133 182.84661398 188.40710215 187.35208988]
Episode: 110, total numsteps: 55000, episode steps: 500, reward: [178.41372603 179.79516818 186.63968747 189.51493025 184.62945873]
Episode: 111, total numsteps: 55500, episode steps: 500, reward: [176.27716609 183.48390247 184.07253639 186.7765696  190.89502655]
Episode: 112, total numsteps: 56000, episode steps: 500, reward: [177.86180837 182.09978295 184.16975524 184.05132563 188.36651798]
Episode: 113, total numsteps: 56500, episode steps: 500, reward: [176.28861008 183.07651083 184.47514569 188.42850077 186.88520493]
Episode: 114, total numsteps: 57000, episode steps: 500, reward: [177.94739595 180.72341818 181.66625434 189.21086973 188.60474666]
Episode: 115, total numsteps: 57500, episode steps: 500, reward: [179.02557343 184.52893956 184.0038416  188.616529   183.87883582]
Episode: 116, total numsteps: 58000, episode steps: 500, reward: [178.45177221 181.58964829 186.53651634 188.03815735 184.8240377 ]
Episode: 117, total numsteps: 58500, episode steps: 500, reward: [176.64182722 183.89584335 184.69445578 191.05464876 185.62646297]
Episode: 118, total numsteps: 59000, episode steps: 500, reward: [177.14170371 182.17259026 186.34875847 186.70363846 183.53714175]
Episode: 119, total numsteps: 59500, episode steps: 500, reward: [173.66607035 180.82803029 181.55180376 185.80679363 187.07227433]
Episode: 120, total numsteps: 60000, episode steps: 500, reward: [176.45769706 182.99914275 184.47029466 189.31649827 187.44989642]
Episode: 121, total numsteps: 60500, episode steps: 500, reward: [177.4006965  182.13646345 183.6208563  188.91541394 185.11920179]
Episode: 122, total numsteps: 61000, episode steps: 500, reward: [180.45313173 182.54199979 187.27577695 189.76092179 184.82249992]
Episode: 123, total numsteps: 61500, episode steps: 500, reward: [178.79393219 184.16312646 184.70052946 190.22720419 184.49673022]
Episode: 124, total numsteps: 62000, episode steps: 500, reward: [174.50576979 180.94348208 183.95534226 188.19831584 183.73608716]
Episode: 125, total numsteps: 62500, episode steps: 500, reward: [178.0568131  183.29250034 186.77049117 189.96517837 186.55590998]
Episode: 126, total numsteps: 63000, episode steps: 500, reward: [178.06154456 180.867043   187.30813095 189.8925195  187.82946801]
Episode: 127, total numsteps: 63500, episode steps: 500, reward: [178.51874527 183.43339981 184.84427689 188.34932097 182.84218886]
Episode: 128, total numsteps: 64000, episode steps: 500, reward: [178.19123723 181.79922297 185.18591703 186.50709006 188.67340585]
Episode: 129, total numsteps: 64500, episode steps: 500, reward: [175.84018372 181.85399572 185.54689645 185.89631152 187.53629442]
Episode: 130, total numsteps: 65000, episode steps: 500, reward: [175.82556012 185.51730074 182.46558717 188.64369674 187.69896395]
Episode: 131, total numsteps: 65500, episode steps: 500, reward: [179.09801389 183.7090135  182.61250667 189.54391021 185.17810547]
Episode: 132, total numsteps: 66000, episode steps: 500, reward: [177.08505678 184.09901978 185.75619814 188.00861766 183.75165801]
Episode: 133, total numsteps: 66500, episode steps: 500, reward: [175.48055482 183.66346279 185.2004115  187.26063048 187.06549438]
Episode: 134, total numsteps: 67000, episode steps: 500, reward: [178.16882363 180.87264734 184.7060265  189.50617925 184.0206094 ]
Episode: 135, total numsteps: 67500, episode steps: 500, reward: [177.1499502  183.26778476 188.11618889 188.67986351 182.89469881]
Episode: 136, total numsteps: 68000, episode steps: 500, reward: [177.51326011 182.39155648 186.84907878 189.98758676 183.98486011]
Episode: 137, total numsteps: 68500, episode steps: 500, reward: [175.02776761 179.82651474 187.03805209 188.87135489 187.79690711]
Episode: 138, total numsteps: 69000, episode steps: 500, reward: [178.16866122 183.7455211  183.4750354  188.62088845 186.18062084]
Episode: 139, total numsteps: 69500, episode steps: 500, reward: [179.14907903 181.38348957 185.86147961 191.9672359  183.25491077]
Episode: 140, total numsteps: 70000, episode steps: 500, reward: [177.07150988 180.89095464 186.57690714 190.71103944 181.37853057]
Episode: 141, total numsteps: 70500, episode steps: 500, reward: [176.41183745 183.03555629 184.1785098  191.02550494 183.83312291]
Episode: 142, total numsteps: 71000, episode steps: 500, reward: [179.10599278 185.2877259  185.1393229  189.86149607 184.44286675]
Episode: 143, total numsteps: 71500, episode steps: 500, reward: [176.82825553 181.25863552 187.57234112 186.71966774 186.64713177]
Episode: 144, total numsteps: 72000, episode steps: 500, reward: [176.08586944 184.61583791 182.84568459 188.75824646 189.5544681 ]
Episode: 145, total numsteps: 72500, episode steps: 500, reward: [175.83534705 183.54917394 186.56525013 188.12755933 189.2056814 ]
Episode: 146, total numsteps: 73000, episode steps: 500, reward: [177.23621205 185.72145078 185.63033062 188.34334979 186.79958726]
Episode: 147, total numsteps: 73500, episode steps: 500, reward: [176.98850702 183.30063806 185.12998265 187.62542298 185.25861382]
Episode: 148, total numsteps: 74000, episode steps: 500, reward: [176.8405533  185.71624489 185.91098734 186.83766508 187.68995028]
Episode: 149, total numsteps: 74500, episode steps: 500, reward: [175.04829326 182.92227727 187.84039565 186.26372939 187.51387773]
Episode: 150, total numsteps: 75000, episode steps: 500, reward: [178.42009811 183.77702648 181.78839051 188.60872164 184.7181675 ]
Episode: 151, total numsteps: 75500, episode steps: 500, reward: [177.6336612  183.83143303 186.32081491 188.02368663 186.04994982]
Episode: 152, total numsteps: 76000, episode steps: 500, reward: [176.21476111 182.31936771 183.69856298 190.00362871 185.9460085 ]
Episode: 153, total numsteps: 76500, episode steps: 500, reward: [178.01903504 181.46090323 182.82864403 188.9866876  186.21442356]
Episode: 154, total numsteps: 77000, episode steps: 500, reward: [180.7457274  181.8165335  183.48756265 187.93150605 183.27472945]
Episode: 155, total numsteps: 77500, episode steps: 500, reward: [178.72280753 185.75706263 182.62892092 189.79792862 187.64722582]
Episode: 156, total numsteps: 78000, episode steps: 500, reward: [178.40955576 184.22638379 183.46392695 188.56642621 185.03380897]
Episode: 157, total numsteps: 78500, episode steps: 500, reward: [175.87334392 184.35562821 184.38540781 192.09373551 188.19861074]
Episode: 158, total numsteps: 79000, episode steps: 500, reward: [176.21760977 183.77769343 186.06496884 188.06134413 182.6875138 ]
Episode: 159, total numsteps: 79500, episode steps: 500, reward: [177.2640827  183.97080175 182.73479839 188.38631333 184.81623207]
Episode: 160, total numsteps: 80000, episode steps: 500, reward: [176.97829585 183.55355008 181.57583101 186.1197761  184.91082331]
Episode: 161, total numsteps: 80500, episode steps: 500, reward: [177.42191523 182.9424854  185.90021883 190.758134   184.96817639]
Episode: 162, total numsteps: 81000, episode steps: 500, reward: [175.55925002 183.01305073 185.67619663 186.41397683 185.02986421]
Episode: 163, total numsteps: 81500, episode steps: 500, reward: [175.81277656 183.28259379 185.48800227 189.46958914 188.1333055 ]
Episode: 164, total numsteps: 82000, episode steps: 500, reward: [174.63485651 185.11776819 185.33821638 188.29074055 185.94774777]
Episode: 165, total numsteps: 82500, episode steps: 500, reward: [177.62597165 183.47077271 183.80856774 188.26936319 187.10234325]
Episode: 166, total numsteps: 83000, episode steps: 500, reward: [175.85674396 186.1145463  182.82363238 187.87739416 185.5395658 ]
Episode: 167, total numsteps: 83500, episode steps: 500, reward: [177.90564313 183.0048481  184.93772264 188.09103274 187.56656107]
Episode: 168, total numsteps: 84000, episode steps: 500, reward: [178.39815438 182.39143586 185.54294549 188.91896361 186.23867589]
Episode: 169, total numsteps: 84500, episode steps: 500, reward: [177.28313217 180.42609924 186.95395028 187.90206031 186.40197431]
Episode: 170, total numsteps: 85000, episode steps: 500, reward: [176.69155919 180.29187526 186.34785462 189.18456736 187.24140097]
Episode: 171, total numsteps: 85500, episode steps: 500, reward: [179.03728657 185.02277284 186.63562283 187.5202999  185.34730043]
Episode: 172, total numsteps: 86000, episode steps: 500, reward: [177.25748065 182.2807265  187.08197434 188.5599549  183.06270818]
Episode: 173, total numsteps: 86500, episode steps: 500, reward: [179.57234483 181.47915994 183.93256081 189.8164664  188.61786234]
Episode: 174, total numsteps: 87000, episode steps: 500, reward: [174.8624678  181.73839669 182.49269956 187.47992783 185.09296155]
Episode: 175, total numsteps: 87500, episode steps: 500, reward: [178.92795217 182.66342644 187.56796111 189.20399701 187.20865988]
Episode: 176, total numsteps: 88000, episode steps: 500, reward: [178.9440699  185.55890325 185.75805616 190.43438816 185.65376308]
Episode: 177, total numsteps: 88500, episode steps: 500, reward: [175.35257391 183.58584742 186.04731028 189.42016974 187.83576894]
Episode: 178, total numsteps: 89000, episode steps: 500, reward: [178.53032517 182.93958652 185.40299575 191.41487038 184.69803295]
Episode: 179, total numsteps: 89500, episode steps: 500, reward: [176.52751544 182.6715396  182.95429833 188.96208064 185.78406368]
Episode: 180, total numsteps: 90000, episode steps: 500, reward: [177.540995   183.53778843 184.06794503 191.9773061  184.24870857]
Episode: 181, total numsteps: 90500, episode steps: 500, reward: [176.8165581  182.77308212 187.27503985 187.32156697 186.3011277 ]
