
Episode: 151, total numsteps: 75500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 152, total numsteps: 76000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 153, total numsteps: 76500, episode steps: 500, reward: [-272.07259322 -201.52297018 -192.20391091 -143.19745975 -191.35927315]
Episode: 154, total numsteps: 77000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 155, total numsteps: 77500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 156, total numsteps: 78000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 157, total numsteps: 78500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 158, total numsteps: 79000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 159, total numsteps: 79500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 160, total numsteps: 80000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 161, total numsteps: 80500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 162, total numsteps: 81000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 163, total numsteps: 81500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 164, total numsteps: 82000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 165, total numsteps: 82500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 166, total numsteps: 83000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 167, total numsteps: 83500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 168, total numsteps: 84000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 169, total numsteps: 84500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 170, total numsteps: 85000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 171, total numsteps: 85500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 172, total numsteps: 86000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 173, total numsteps: 86500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 174, total numsteps: 87000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 175, total numsteps: 87500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 176, total numsteps: 88000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 177, total numsteps: 88500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 178, total numsteps: 89000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 179, total numsteps: 89500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927313]
Episode: 180, total numsteps: 90000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 181, total numsteps: 90500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 182, total numsteps: 91000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 183, total numsteps: 91500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 184, total numsteps: 92000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35139142]
Episode: 185, total numsteps: 92500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 186, total numsteps: 93000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 187, total numsteps: 93500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 188, total numsteps: 94000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 189, total numsteps: 94500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 190, total numsteps: 95000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 191, total numsteps: 95500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927313]
Episode: 192, total numsteps: 96000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 193, total numsteps: 96500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 194, total numsteps: 97000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 195, total numsteps: 97500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 196, total numsteps: 98000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 197, total numsteps: 98500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 198, total numsteps: 99000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 199, total numsteps: 99500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 200, total numsteps: 100000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 201, total numsteps: 100500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 202, total numsteps: 101000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 203, total numsteps: 101500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 204, total numsteps: 102000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 205, total numsteps: 102500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 206, total numsteps: 103000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 207, total numsteps: 103500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 208, total numsteps: 104000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 209, total numsteps: 104500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 210, total numsteps: 105000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 211, total numsteps: 105500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 212, total numsteps: 106000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 213, total numsteps: 106500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 214, total numsteps: 107000, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
Episode: 215, total numsteps: 107500, episode steps: 500, reward: [-272.07259322 -201.52606237 -192.20391091 -143.19745975 -191.35927315]
