Episode: 123, total numsteps: 123000, episode steps: 1000, reward: [-673.1431711  -427.16902188 -466.4636795  -310.00612989 -396.4243376 ]
Episode: 124, total numsteps: 124000, episode steps: 1000, reward: [-673.7057112  -425.45012952 -468.22394709 -310.0061299  -397.18522892]
Episode: 125, total numsteps: 125000, episode steps: 1000, reward: [-667.25725616 -425.57679707 -460.82411057 -310.00614783 -400.91110171]
Episode: 126, total numsteps: 126000, episode steps: 1000, reward: [-657.11858454 -427.29118023 -467.35172502 -310.00612989 -395.65026334]
Episode: 127, total numsteps: 127000, episode steps: 1000, reward: [-657.19762009 -425.21630079 -467.59107932 -310.00612989 -397.07909734]
Episode: 128, total numsteps: 128000, episode steps: 1000, reward: [-667.25189386 -424.9299518  -470.97327344 -310.00612988 -395.67901566]
Episode: 129, total numsteps: 129000, episode steps: 1000, reward: [-674.88816175 -425.04590029 -461.770685   -310.0061299  -398.51324852]
Episode: 130, total numsteps: 130000, episode steps: 1000, reward: [-675.76639417 -424.71392182 -462.94300688 -310.00612989 -396.54696679]
Episode: 131, total numsteps: 131000, episode steps: 1000, reward: [-674.85744878 -425.58095016 -458.87944452 -310.00612989 -395.73640092]
Episode: 132, total numsteps: 132000, episode steps: 1000, reward: [-674.48509472 -425.98803608 -472.32933446 -310.00612989 -395.95469438]
Episode: 133, total numsteps: 133000, episode steps: 1000, reward: [-666.40980064 -427.01376983 -462.38184316 -310.0061299  -395.93824846]
Episode: 134, total numsteps: 134000, episode steps: 1000, reward: [-680.791779   -425.80220502 -462.57536193 -310.00612988 -395.62385045]
Episode: 135, total numsteps: 135000, episode steps: 1000, reward: [-668.05287141 -425.91912549 -472.16791897 -310.00612989 -393.18971791]
Episode: 136, total numsteps: 136000, episode steps: 1000, reward: [-674.84272059 -425.37955132 -469.23960512 -310.00612986 -395.94051211]
Episode: 137, total numsteps: 137000, episode steps: 1000, reward: [-678.11416416 -424.52854546 -465.87083178 -310.00612986 -396.34443663]
Episode: 138, total numsteps: 138000, episode steps: 1000, reward: [-671.83073974 -425.58093584 -463.01334249 -310.0061299  -397.53157188]
Episode: 139, total numsteps: 139000, episode steps: 1000, reward: [-683.38075478 -424.71431706 -462.72452677 -310.00612989 -397.94728654]
Episode: 140, total numsteps: 140000, episode steps: 1000, reward: [-675.71543709 -424.71392182 -455.13335361 -310.0061299  -397.57242615]
Episode: 141, total numsteps: 141000, episode steps: 1000, reward: [-664.19202146 -425.28827112 -475.33253489 -310.00612989 -398.47628199]
Episode: 142, total numsteps: 142000, episode steps: 1000, reward: [-667.51525225 -424.70731179 -461.12945546 -310.00612989 -394.88981044]
Episode: 143, total numsteps: 143000, episode steps: 1000, reward: [-657.38133947 -425.47404347 -463.71280999 -310.00612989 -395.61009362]
Episode: 144, total numsteps: 144000, episode steps: 1000, reward: [-675.54519774 -425.91894569 -459.56247309 -310.00612989 -395.89311712]
Episode: 145, total numsteps: 145000, episode steps: 1000, reward: [-658.73600379 -425.36097176 -464.61640722 -310.0061299  -399.35816595]
Episode: 146, total numsteps: 146000, episode steps: 1000, reward: [-663.37414803 -425.91873018 -464.55570799 -310.0061299  -393.15614214]
Episode: 147, total numsteps: 147000, episode steps: 1000, reward: [-680.48359428 -425.17591241 -459.42974787 -310.00612989 -397.93257569]
Episode: 148, total numsteps: 148000, episode steps: 1000, reward: [-663.46750634 -423.63652455 -468.4734412  -310.00612989 -397.47054327]
Episode: 149, total numsteps: 149000, episode steps: 1000, reward: [-667.77345646 -425.47404347 -460.3893104  -310.00612989 -395.89984603]
Episode: 150, total numsteps: 150000, episode steps: 1000, reward: [-676.65965168 -425.60285096 -468.96927837 -310.0061299  -396.9350844 ]
Episode: 151, total numsteps: 151000, episode steps: 1000, reward: [-675.83894859 -427.48754985 -468.47451773 -310.0061299  -394.7862763 ]
Episode: 152, total numsteps: 152000, episode steps: 1000, reward: [-663.41210156 -425.63662934 -469.32748007 -310.0061299  -397.1586789 ]
Episode: 153, total numsteps: 153000, episode steps: 1000, reward: [-666.51462679 -423.51089967 -465.45291179 -310.00612989 -396.5238041 ]
Episode: 154, total numsteps: 154000, episode steps: 1000, reward: [-668.48203505 -425.45012952 -463.83823094 -310.00612989 -395.39981177]
Episode: 155, total numsteps: 155000, episode steps: 1000, reward: [-670.89008917 -425.32741534 -466.13919676 -310.00612989 -394.63814983]
Episode: 156, total numsteps: 156000, episode steps: 1000, reward: [-675.95006243 -425.26253221 -464.99225423 -310.00612989 -397.25655214]
Episode: 157, total numsteps: 157000, episode steps: 1000, reward: [-660.79880602 -424.22359241 -462.40481595 -310.00612989 -397.31682529]
Episode: 158, total numsteps: 158000, episode steps: 1000, reward: [-656.87946446 -425.47447104 -463.97973187 -310.00612989 -396.82782771]
Episode: 159, total numsteps: 159000, episode steps: 1000, reward: [-656.88281814 -427.94488604 -463.21087435 -310.00612989 -395.92859325]
Episode: 160, total numsteps: 160000, episode steps: 1000, reward: [-661.69850891 -425.33704343 -460.99193863 -310.00612989 -397.52867233]
Episode: 161, total numsteps: 161000, episode steps: 1000, reward: [-668.96844188 -427.19079863 -468.43472529 -310.0061299  -399.65439853]
Episode: 162, total numsteps: 162000, episode steps: 1000, reward: [-675.55265266 -423.06622776 -472.12123198 -310.00612989 -395.64513077]
Episode: 163, total numsteps: 163000, episode steps: 1000, reward: [-678.41877323 -425.83940988 -448.41143465 -310.00612989 -395.4830199 ]
Episode: 164, total numsteps: 164000, episode steps: 1000, reward: [-665.18048565 -425.47047336 -463.47211922 -310.00612986 -397.95092957]
Episode: 165, total numsteps: 165000, episode steps: 1000, reward: [-664.77335357 -424.60083281 -461.21663318 -310.0061299  -396.03639983]
Episode: 166, total numsteps: 166000, episode steps: 1000, reward: [-668.33647636 -428.71806144 -459.35968609 -310.00612989 -395.05230755]
Episode: 167, total numsteps: 167000, episode steps: 1000, reward: [-666.58450512 -427.21526679 -465.09301442 -310.00612989 -395.39352887]
Episode: 168, total numsteps: 168000, episode steps: 1000, reward: [-662.58553987 -425.92369646 -465.5948158  -310.00612989 -397.47806454]
Episode: 169, total numsteps: 169000, episode steps: 1000, reward: [-670.3953757  -425.86111101 -466.62227052 -310.00612989 -396.73377885]
Episode: 170, total numsteps: 170000, episode steps: 1000, reward: [-681.08786919 -425.39607025 -468.65404179 -310.00612989 -396.39074973]
Episode: 171, total numsteps: 171000, episode steps: 1000, reward: [-660.7188628  -425.32660517 -458.20838993 -310.00612989 -395.13646672]
Episode: 172, total numsteps: 172000, episode steps: 1000, reward: [-677.69309874 -426.18074076 -471.96151373 -310.00612988 -396.00003497]
Episode: 173, total numsteps: 173000, episode steps: 1000, reward: [-668.03652761 -425.65644886 -463.58249535 -310.00612989 -397.03193498]
Episode: 174, total numsteps: 174000, episode steps: 1000, reward: [-655.51737278 -425.56999734 -469.43484784 -310.00612989 -398.05167067]
Episode: 175, total numsteps: 175000, episode steps: 1000, reward: [-673.39936727 -425.46344377 -466.0175884  -310.00612989 -394.01890101]
Episode: 176, total numsteps: 176000, episode steps: 1000, reward: [-670.90617885 -425.58053698 -456.09727746 -310.00612989 -395.21559675]
Episode: 177, total numsteps: 177000, episode steps: 1000, reward: [-663.99022419 -424.53634656 -457.85291842 -310.00612989 -395.43465414]
Episode: 178, total numsteps: 178000, episode steps: 1000, reward: [-675.93003177 -424.76480105 -466.3883274  -310.00612989 -397.15809201]
Episode: 179, total numsteps: 179000, episode steps: 1000, reward: [-666.73767227 -425.88819488 -456.66905219 -310.00612989 -397.94365847]
Episode: 180, total numsteps: 180000, episode steps: 1000, reward: [-664.36759733 -425.33745661 -463.90267435 -310.00612989 -396.43808494]
