Episode: 125, total numsteps: 125000, episode steps: 1000, reward: [-475.36579098 -418.60918467 -379.14446386 -374.45002656 -340.70478145]
Episode: 126, total numsteps: 126000, episode steps: 1000, reward: [-475.36579098 -418.77720724 -379.14446386 -374.17722993 -340.70478145]
Episode: 127, total numsteps: 127000, episode steps: 1000, reward: [-475.36579098 -417.8130757  -379.14446386 -374.38399542 -340.70478145]
Episode: 128, total numsteps: 128000, episode steps: 1000, reward: [-475.36579098 -417.7278412  -379.14446386 -373.9144064  -340.70478145]
Episode: 129, total numsteps: 129000, episode steps: 1000, reward: [-475.36579098 -417.52111643 -379.14446386 -374.24241564 -340.70478145]
Episode: 130, total numsteps: 130000, episode steps: 1000, reward: [-475.36579098 -418.04488498 -379.14446386 -374.46145513 -340.70478145]
Episode: 131, total numsteps: 131000, episode steps: 1000, reward: [-475.36579098 -418.55897621 -379.14446386 -374.20632506 -340.70478145]
Episode: 132, total numsteps: 132000, episode steps: 1000, reward: [-475.36579098 -418.33914964 -379.14446386 -374.19843808 -340.70478145]
Episode: 133, total numsteps: 133000, episode steps: 1000, reward: [-475.36579098 -418.3973741  -379.14446386 -374.83492546 -340.70478145]
Episode: 134, total numsteps: 134000, episode steps: 1000, reward: [-475.36579098 -417.25645382 -379.14446386 -374.79112993 -340.70478145]
Episode: 135, total numsteps: 135000, episode steps: 1000, reward: [-475.36579098 -417.74668344 -379.14336526 -373.96572226 -340.70478145]
Episode: 136, total numsteps: 136000, episode steps: 1000, reward: [-475.36579098 -418.34341181 -379.14446386 -374.17215227 -340.70426745]
Episode: 137, total numsteps: 137000, episode steps: 1000, reward: [-475.36579098 -418.10594473 -379.14446386 -374.63896833 -340.70478145]
Episode: 138, total numsteps: 138000, episode steps: 1000, reward: [-475.36579098 -417.96067295 -379.14446386 -374.74517693 -340.70478145]
Episode: 139, total numsteps: 139000, episode steps: 1000, reward: [-475.36579098 -418.21216286 -379.14446386 -374.35525918 -340.70478145]
Episode: 140, total numsteps: 140000, episode steps: 1000, reward: [-475.36579098 -419.31650773 -379.14446386 -374.63848736 -340.70478145]
Episode: 141, total numsteps: 141000, episode steps: 1000, reward: [-475.36579098 -417.22941886 -379.14446386 -374.58082993 -340.70478145]
Episode: 142, total numsteps: 142000, episode steps: 1000, reward: [-475.36579098 -418.4171847  -379.14446386 -373.31519321 -340.70478145]
Episode: 143, total numsteps: 143000, episode steps: 1000, reward: [-475.36579098 -417.2405515  -379.14446386 -374.24461114 -340.70478145]
Episode: 144, total numsteps: 144000, episode steps: 1000, reward: [-475.36579098 -417.77833356 -379.14446386 -374.2609054  -340.70478145]
Episode: 145, total numsteps: 145000, episode steps: 1000, reward: [-475.36579098 -417.42886456 -379.14446386 -373.96039144 -340.70478145]
