
Episode: 166, total numsteps: 83000, episode steps: 500, reward: [-384.67373541 -331.76671189 -332.7405341  -301.58549775 -314.26191013]
Episode: 167, total numsteps: 83500, episode steps: 500, reward: [-378.74111899 -325.73463302 -321.57970662 -309.98362834 -303.10741306]
Episode: 168, total numsteps: 84000, episode steps: 500, reward: [-368.31623626 -325.98025848 -331.25210795 -290.25921995 -314.77018128]
Episode: 169, total numsteps: 84500, episode steps: 500, reward: [-363.87983794 -352.61606701 -314.13039383 -289.82807482 -321.79411657]
Episode: 170, total numsteps: 85000, episode steps: 500, reward: [-380.33345399 -331.77199973 -317.7169788  -287.8283612  -306.11923725]
Episode: 171, total numsteps: 85500, episode steps: 500, reward: [-378.72897162 -309.8510153  -312.27206607 -305.62725696 -338.17385108]
Episode: 172, total numsteps: 86000, episode steps: 500, reward: [-381.89592109 -331.91707972 -328.78884851 -292.52963776 -332.36776364]
Episode: 173, total numsteps: 86500, episode steps: 500, reward: [-362.88775504 -344.10839574 -325.90489892 -297.86975629 -316.65249351]
Episode: 174, total numsteps: 87000, episode steps: 500, reward: [-391.48035888 -325.52687624 -339.09613101 -304.49913893 -320.42737399]
Episode: 175, total numsteps: 87500, episode steps: 500, reward: [-373.82555088 -337.02645306 -310.76529426 -288.13143947 -330.711266  ]
Episode: 176, total numsteps: 88000, episode steps: 500, reward: [-364.24388852 -328.85759556 -328.66213581 -292.78321881 -309.30620531]
Episode: 177, total numsteps: 88500, episode steps: 500, reward: [-372.97074662 -346.22710823 -301.10181495 -294.554809   -317.94316965]
Episode: 178, total numsteps: 89000, episode steps: 500, reward: [-360.33022337 -321.68321738 -324.86947591 -290.71011082 -325.59025814]
Episode: 179, total numsteps: 89500, episode steps: 500, reward: [-374.91728247 -329.65223078 -322.37701033 -301.55792646 -317.7571136 ]
Episode: 180, total numsteps: 90000, episode steps: 500, reward: [-375.6373409  -328.53501554 -324.4052251  -281.91832072 -335.11199997]
Episode: 181, total numsteps: 90500, episode steps: 500, reward: [-383.97938317 -339.63473979 -307.41859235 -291.50764069 -320.27130952]
Episode: 182, total numsteps: 91000, episode steps: 500, reward: [-355.70328587 -318.26575806 -319.72895064 -279.64047937 -320.82094833]
Episode: 183, total numsteps: 91500, episode steps: 500, reward: [-389.47426183 -322.16960124 -320.37889094 -263.7122726  -320.64968977]
Episode: 184, total numsteps: 92000, episode steps: 500, reward: [-363.44765551 -342.86063172 -305.47552365 -306.77822929 -309.76435211]
Episode: 185, total numsteps: 92500, episode steps: 500, reward: [-374.01669674 -333.0489402  -310.80642417 -286.02981906 -341.60801242]
Episode: 186, total numsteps: 93000, episode steps: 500, reward: [-383.6806084  -331.68735822 -319.22145692 -295.70267994 -319.78889874]
Episode: 187, total numsteps: 93500, episode steps: 500, reward: [-381.5291402  -329.01046353 -318.26992876 -294.36605969 -326.13266745]
Episode: 188, total numsteps: 94000, episode steps: 500, reward: [-379.57475826 -318.72574423 -332.32853711 -278.60531084 -322.00166095]
Episode: 189, total numsteps: 94500, episode steps: 500, reward: [-377.15903558 -348.96953531 -314.46483622 -299.87197315 -322.94260852]
Episode: 190, total numsteps: 95000, episode steps: 500, reward: [-370.40451442 -320.94838232 -313.85138691 -281.53720736 -328.22251892]
Episode: 191, total numsteps: 95500, episode steps: 500, reward: [-382.05003103 -343.94377946 -313.22602346 -287.22301774 -318.91578931]
Episode: 192, total numsteps: 96000, episode steps: 500, reward: [-360.53708853 -336.7043944  -325.20812237 -288.84674271 -317.51126387]
Episode: 193, total numsteps: 96500, episode steps: 500, reward: [-385.4843543  -318.4759937  -319.85341502 -287.28468027 -318.62836612]
Episode: 194, total numsteps: 97000, episode steps: 500, reward: [-391.91254086 -335.94315961 -318.89954129 -269.61364389 -309.90402706]
Episode: 195, total numsteps: 97500, episode steps: 500, reward: [-397.87850914 -333.67427737 -308.54054002 -275.45870472 -318.64294644]
Episode: 196, total numsteps: 98000, episode steps: 500, reward: [-390.71879993 -330.35170118 -324.66344255 -285.16369971 -312.19720295]
Episode: 197, total numsteps: 98500, episode steps: 500, reward: [-393.6218168  -326.27527774 -325.8200647  -283.16100282 -310.36019126]
Episode: 198, total numsteps: 99000, episode steps: 500, reward: [-382.45422232 -334.33151604 -314.23138711 -301.74605155 -306.77343956]
Episode: 199, total numsteps: 99500, episode steps: 500, reward: [-390.35928429 -342.26229115 -334.37690498 -280.23881233 -309.12770605]
Episode: 200, total numsteps: 100000, episode steps: 500, reward: [-377.40544869 -339.10437547 -332.71749765 -294.8295486  -328.24112073]
Episode: 201, total numsteps: 100500, episode steps: 500, reward: [-367.32164014 -330.60182122 -324.50590959 -314.35809294 -321.50896143]
Episode: 202, total numsteps: 101000, episode steps: 500, reward: [-386.71409247 -333.22531898 -326.39423818 -286.19674357 -335.08935849]
Episode: 203, total numsteps: 101500, episode steps: 500, reward: [-398.65094123 -344.92401938 -295.53432318 -299.38209103 -324.53952803]
Episode: 204, total numsteps: 102000, episode steps: 500, reward: [-385.76909128 -312.63502951 -327.26239532 -278.13925839 -317.10047082]
Episode: 205, total numsteps: 102500, episode steps: 500, reward: [-379.33346007 -343.26272365 -329.64707315 -284.63249376 -318.17084474]
Episode: 206, total numsteps: 103000, episode steps: 500, reward: [-381.17190669 -320.09493293 -323.46192042 -283.97543153 -319.03335542]
Episode: 207, total numsteps: 103500, episode steps: 500, reward: [-376.42836193 -317.02100683 -326.71954156 -289.81776993 -313.19336045]
Episode: 208, total numsteps: 104000, episode steps: 500, reward: [-395.53388177 -318.66055174 -323.66507826 -287.02642878 -297.13927211]
Episode: 209, total numsteps: 104500, episode steps: 500, reward: [-391.49699725 -341.45225331 -303.52221504 -282.07600192 -316.62041189]
Episode: 210, total numsteps: 105000, episode steps: 500, reward: [-362.79379711 -335.3378145  -318.71194027 -291.58608686 -319.86434133]
Episode: 211, total numsteps: 105500, episode steps: 500, reward: [-377.49676677 -341.94084397 -298.86736416 -292.21599082 -302.02748908]
Episode: 212, total numsteps: 106000, episode steps: 500, reward: [-393.73348319 -324.58062232 -313.5773633  -274.3766052  -315.25450911]
Episode: 213, total numsteps: 106500, episode steps: 500, reward: [-386.49446669 -334.54506477 -321.76151246 -291.21765391 -320.85455124]
Episode: 214, total numsteps: 107000, episode steps: 500, reward: [-400.00676392 -323.21842622 -316.5593061  -294.9666854  -325.62288589]
